"Cluster" "ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"81" "salmon4" "mmu04921" "Oxytocin signaling pathway - Mus musculus (house mouse)" "10/119" "123/6190" 0.000113753349004062 0.00357510525441337 0.00268560538250191 "28240/23939/320207/104709/18750/18018/18797/18796/18019/52163" 10
"82" "salmon4" "mmu04062" "Chemokine signaling pathway - Mus musculus (house mouse)" "11/119" "165/6190" 0.000302574619492786 0.00832080203605162 0.00625055463952203 "320207/104709/20851/140580/18753/18797/18796/20416/18707/19303/22376" 11
"83" "salmon4" "mmu05161" "Hepatitis B - Mus musculus (house mouse)" "10/119" "141/6190" 0.000350169447551996 0.00855969760682657 0.00643001207785537 "20852/20851/18750/18018/18019/21812/12371/18707/54721/17127" 10
"84" "salmon4" "mmu04144" "Endocytosis - Mus musculus (house mouse)" "13/119" "230/6190" 0.000432705110639839 0.00924605696502343 0.00694560260051999 "72318/106952/215632/72543/215280/18805/21812/26431/330192/52055/69710/13430/17127" 13
"85" "salmon4" "mmu04380" "Osteoclast differentiation - Mus musculus (house mouse)" "9/119" "121/6190" 0.000491840233480997 0.00924605696502343 0.00694560260051999 "14131/20963/18018/20375/19261/18019/21812/18707/54721" 9
"86" "salmon4" "mmu05220" "Chronic myeloid leukemia - Mus musculus (house mouse)" "7/119" "74/6190" 0.000504330379910369 0.00924605696502343 0.00694560260051999 "20851/12394/11350/20416/21812/18707/17127" 7
"87" "salmon4" "mmu04722" "Neurotrophin signaling pathway - Mus musculus (house mouse)" "8/119" "113/6190" 0.0014025201655861 0.0209479780850435 0.0157360409538365 "23939/19164/18753/11350/20416/18707/16923/108960" 8
"88" "salmon4" "mmu05100" "Bacterial invasion of epithelial cells - Mus musculus (house mouse)" "6/119" "65/6190" 0.00145742353640612 0.0209479780850435 0.0157360409538365 "140580/20416/242687/18707/19303/13430" 6
"89" "salmon4" "mmu04371" "Apelin signaling pathway - Mus musculus (house mouse)" "8/119" "114/6190" 0.00148453779073612 0.0209479780850435 0.0157360409538365 "320207/104709/18797/18796/21812/18181/17258/17127" 8
"90" "salmon4" "mmu04650" "Natural killer cell mediated cytotoxicity - Mus musculus (house mouse)" "7/119" "89/6190" 0.00152348931527589 0.0209479780850435 0.0157360409538365 "18750/20963/18018/18019/20416/18707/24055" 7
"91" "salmon4" "mmu04621" "NOD-like receptor signaling pathway - Mus musculus (house mouse)" "9/119" "148/6190" 0.00206856129083601 0.0261043091544697 0.019609457116037 "28240/22368/18753/13030/18797/18796/107607/320795/54721" 9
"92" "salmon4" "mmu05321" "Inflammatory bowel disease - Mus musculus (house mouse)" "5/119" "48/6190" 0.00213580711263843 0.0261043091544697 0.019609457116037 "20852/18018/16190/60504/17127" 5
